gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation,dataset,color
ADH1C,-6.53730300387597,5.11004364508393,-33.5208523929595,1.20450657080201e-120,7.94974336729328e-119,264.976347563939,Down,TCGA-only,Down
HK2,3.02083430232558,9.76312230215827,26.1543182537363,4.26516677204597e-90,1.40750503477517e-88,194.641595066313,Up,TCGA-only,Up
ALDH3B2,-4.76871416343669,2.54437553956835,-25.5145115146992,2.52473817257845e-87,5.55442397967258e-86,188.259597920276,Down,TCGA-only,Down
PGAM2,-4.49539257105943,4.79899712230216,-23.7140078471362,1.91347088432038e-79,3.15722695912862e-78,170.12177425435,Down,TCGA-only,Down
ALDOB,-7.9972743863049,9.39647002398081,-23.2676995227334,1.86151242371061e-77,2.45719639929801e-76,165.546455851713,Down,TCGA-only,Down
ADH1B,-5.61262361111111,8.08332230215827,-22.7185466219305,4.77557182038216e-75,5.25312900242038e-74,160.001316521103,Down,TCGA-only,Down
ADH4,-2.91894773901809,1.87924772182254,-21.666771659131,2.22504504096081e-70,2.09789961004876e-69,149.258224242404,Down,TCGA-only,Down
GAPDH,1.14030200258398,16.7839808153477,19.8703210523536,2.2216911988964e-62,1.83289523908953e-61,130.853619061716,Up,TCGA-only,Up
ALDH9A1,-1.06566812015503,12.0231462829736,-17.3301183599509,4.05443245672695e-51,2.97325046826643e-50,104.956648489782,Down,TCGA-only,Down
ENO2,2.00373570736434,10.5500455635492,17.023015956571,9.04937712067184e-50,5.97258889964342e-49,101.85644557582,Up,TCGA-only,Up
ADH1A,-1.87405445736434,1.22205179856115,-16.7945851203032,9.05878653602396e-49,5.43527192161438e-48,99.5569502171622,Down,TCGA-only,Down
FBP2,-1.54281228197674,0.997788489208633,-15.5216019187265,3.01674298970298e-43,1.65920864433664e-42,86.8676528954849,Down,TCGA-only,Down
PCK1,-4.15913041020669,11.0565923261391,-15.0923674015846,2.10477605679773e-41,1.06857861345116e-40,82.6332732276946,Down,TCGA-only,Down
ALDOA,1.03026808785529,15.8736450839329,14.9612448368366,7.50875845360532e-41,3.53984327098537e-40,81.3645197879983,Up,TCGA-only,Up
ALDH3B1,1.77259132751938,11.0772589928058,14.9436510790812,8.92051778338448e-41,3.92502782468917e-40,81.1926972889971,Up,TCGA-only,Up
FBP1,-2.09986296834622,10.9820527577938,-14.8096673783486,3.3061819119045e-40,1.3638000386606e-39,79.8862354696269,Down,TCGA-only,Down
ADH5,-0.805310077519373,12.4841247002398,-14.7194097530356,7.97464761663934e-40,3.09603966293057e-39,79.0082127855292,NS,TCGA-only,NS
G6PC3,0.673319605943176,11.868824940048,13.4158076560258,2.16592192872259e-34,7.94171373864949e-34,66.5364427557532,NS,TCGA-only,NS
HK3,1.92920381136952,6.20904316546763,13.1752312767199,2.07958173360062e-33,7.22381023250741e-33,64.2830792950845,Up,TCGA-only,Up
ALDH7A1,-0.94026203165375,11.7426258992806,-12.850177265285,4.30278597997095e-32,1.41991937339041e-31,61.2655440517116,NS,TCGA-only,NS
PFKP,0.95207122093024,12.7159952038369,12.4506625066835,1.70474285417255e-30,5.35776325597087e-30,57.6021539336895,NS,TCGA-only,NS
LDHC,-2.41088059593023,2.828148441247,-11.8036451299905,5.8942639358473e-28,1.76827918075419e-27,51.7847570429498,Down,TCGA-only,Down
DLAT,-0.6669409722222,11.0460455635492,-11.2553733951373,7.40695165247354e-26,2.12547308288371e-25,46.9778515272722,NS,TCGA-only,NS
PDHB,-0.511645106589144,11.5253932853717,-10.8329235073038,2.82798389718474e-24,7.77695571725803e-24,43.3579603703391,NS,TCGA-only,NS
PGM2,-0.672023901808785,9.50369784172662,-10.6966696589175,9.00873081329499e-24,2.37830493470988e-23,42.2069288153343,NS,TCGA-only,NS
PCK2,-1.43056193475452,11.1056139088729,-10.3635572460469,1.47841550395223e-22,3.75290089464798e-22,39.4283518510226,Down,TCGA-only,Down
ACSS1,-0.916398013565884,11.5098129496403,-10.2160556853632,5.02133989025925e-22,1.22743863984115e-21,38.2145761106534,NS,TCGA-only,NS
PKM,0.663363210594339,15.9608633093525,10.1664077017817,7.56069641805112e-22,1.78216415568348e-21,37.8083753851022,NS,TCGA-only,NS
MINPP1,-0.519794815891469,9.4742685851319,-9.75075092300722,2.22007514996544e-20,5.05258482405928e-20,34.4553863721532,NS,TCGA-only,NS
GALM,-0.811382832687336,11.2560623501199,-9.54123908712387,1.18048095797251e-19,2.59705810753952e-19,32.7986796185154,NS,TCGA-only,NS
TPI1,0.481088501292001,14.630479616307,9.4806854796544,1.90536191769465e-19,4.05657698605959e-19,32.3241513705835,NS,TCGA-only,NS
HK1,-0.844846737726085,11.5479040767386,-9.00054537563568,7.91965607106865e-18,1.63342906465791e-17,28.6320407230215,NS,TCGA-only,NS
GCK,-1.3114105620155,2.97022565947242,-8.91507838695295,1.51750815292927e-17,3.03501630585854e-17,27.9883155455627,Down,TCGA-only,Down
ADH6,-2.30918758074936,7.44259952038369,-8.65560446006881,1.06564150748326e-16,2.06859822040869e-16,26.0598400004679,Down,TCGA-only,Down
ALDH3A2,-0.604013242894045,12.6013669064748,-8.39761987879067,7.12039605990514e-16,1.34270325701068e-15,24.1819386301798,NS,TCGA-only,NS
ALDOC,-1.544794250646,8.03064988009592,-8.3018127350094,1.42722551438736e-15,2.61658010971016e-15,23.4948244963737,Down,TCGA-only,Down
LDHAL6A,-1.23454119024548,1.9904726618705,-8.06858630251097,7.57813232446692e-15,1.35177495517518e-14,21.8459646533692,Down,TCGA-only,Down
ALDH3A1,1.23398167797158,5.94414556354916,7.76446113365718,6.35466560992153e-14,1.10370507961795e-13,19.7477880204716,Up,TCGA-only,Up
LDHB,-0.505885820413425,15.099448441247,-7.33914136341678,1.12595625213983e-12,1.90546442669817e-12,16.9155876995716,NS,TCGA-only,NS
GPI,0.423204134366939,14.1701918465228,7.16413567307408,3.54934301414927e-12,5.85641597334629e-12,15.7859207633795,NS,TCGA-only,NS
ACSS2,0.625748546511623,12.1313189448441,7.03075151376769,8.39741246875225e-12,1.35177859253085e-11,14.9392501170971,NS,TCGA-only,NS
HKDC1,0.852109092377257,10.3660263788969,6.36130944453375,5.24609742618835e-10,8.24386738401027e-10,10.88315906018,NS,TCGA-only,NS
PKLR,-2.01973762112403,7.29569112709832,-6.29681924361929,7.68193479217562e-10,1.17908766577579e-09,10.5099067191629,Down,TCGA-only,Down
ALDH1B1,-0.825956879844959,10.9697410071942,-6.28195791467982,8.38402941689418e-10,1.25760441253413e-09,10.4243389121018,NS,TCGA-only,NS
ENO3,0.787793039405683,7.80670743405276,6.22597503372135,1.16385980795872e-09,1.70699438500613e-09,10.1035083096474,NS,TCGA-only,NS
PFKL,-0.325396479328152,13.2134052757794,-5.55171926972926,5.02995135191479e-08,7.21688672231253e-08,6.43027009392574,NS,TCGA-only,NS
ADPGK,0.228156734496128,10.5066378896883,5.4184254298932,1.01636939451706e-07,1.42724212847077e-07,5.74682765806548,NS,TCGA-only,NS
G6PC2,-0.547084124677002,1.00641199040767,-4.90520802341153,1.33808333010643e-06,1.83986457889635e-06,3.25164960924803,NS,TCGA-only,NS
ENO1,0.284114179586588,16.1550599520384,4.72904740780962,3.08733577254512e-06,4.15845226506077e-06,2.44606023337657,NS,TCGA-only,NS
PGAM4,-0.473689195736434,2.04539736211031,-4.38384538195978,1.47624346941706e-05,1.94864137963052e-05,0.944634552877579,NS,TCGA-only,NS
PFKM,-0.298882105943145,12.0297793764988,-4.20217561365892,3.23295966659293e-05,4.18383015676732e-05,0.19615736900052,NS,TCGA-only,NS
BPGM,-0.175561208010336,10.4634700239808,-3.21792823434852,0.00139153841043577,0.00175507812660461,-3.34424761125431,NS,TCGA-only,NS
DLD,-0.209916585917302,12.458587529976,-3.21418069316678,0.00140938091984915,0.00175507812660461,-3.35603237001162,NS,TCGA-only,NS
LDHA,0.243158914728696,14.3389448441247,3.00575578286186,0.00280849814538952,0.00343260884436497,-3.99081581126806,NS,TCGA-only,NS
LDHAL6B,-0.277012645348837,1.55792997601918,-2.86124847041898,0.00443111964648793,0.00531734357578551,-4.40699871601902,NS,TCGA-only,NS
PDHA1,-0.175600775193788,12.5751558752998,-2.80391918896054,0.00528329721198775,0.00622674314269985,-4.56664668640979,NS,TCGA-only,NS
PGAM1,0.148741925064613,13.5528057553957,2.5652584226054,0.0106570722980432,0.01233976792405,-5.19772214527999,NS,TCGA-only,NS
ALDH2,0.262009124677032,13.8739016786571,2.50629236865962,0.0125785086275961,0.0143134753348507,-5.34527291322415,NS,TCGA-only,NS
ADH7,0.182648296188632,0.217105275779377,2.20382692096508,0.0280798239527318,0.0314113284894966,-6.04962197654833,NS,TCGA-only,NS
PGK1,-0.124496124030982,14.1518465227818,-1.80650239374709,0.0715573663218368,0.0787131029540205,-6.84021519862035,NS,TCGA-only,NS
PGK2,0.0672211644056835,0.106579616306954,1.68986065068567,0.0917985778399823,0.0993230514334235,-7.04304266041494,NS,TCGA-only,NS
GAPDHS,0.0834358769379873,0.239383693045564,1.4347473655616,0.152105200410092,0.161918439146227,-7.44005656374653,NS,TCGA-only,NS
PDHA2,0.0137434027777779,0.00949184652278177,1.07635550839319,0.282387760155169,0.295834796353034,-7.88919020706041,NS,TCGA-only,NS
ENO4,-0.0987843911498709,5.04106163069544,-1.06501570347218,0.287482274822998,0.296466095911217,-7.90132208529465,NS,TCGA-only,NS
PGM1,0.0295275355297093,11.8563621103118,0.450913786840966,0.652284988388247,0.662320142055759,-8.3669557923341,NS,TCGA-only,NS
AKR1A1,-0.0350048449612412,12.4785371702638,-0.396519275827351,0.691923893004742,0.691923893004742,-8.39003874751711,NS,TCGA-only,NS
